year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2027,CA_US,26.0,27.109,27,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2028,CA_US,26.0,27.681,28,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2029,CA_US,26.0,28.265,28,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2030,CA_US,26.0,28.861,29,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2031,CA_US,26.0,29.47,29,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2032,CA_US,26.0,30.092,30,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2033,CA_US,26.0,30.727,31,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2034,CA_US,26.0,31.376,31,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2035,CA_US,26.0,32.038,32,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2036,CA_US,26.0,32.714,33,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2037,CA_US,26.0,33.404,33,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2038,CA_US,26.0,34.109,34,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2039,CA_US,26.0,34.828,35,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2040,CA_US,26.0,35.563,36,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2041,CA_US,26.0,36.314,36,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2042,CA_US,26.0,37.08,37,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2043,CA_US,26.0,37.863,38,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2044,CA_US,26.0,38.661,39,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2045,CA_US,26.0,39.477,39,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2046,CA_US,26.0,40.31,40,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2047,CA_US,26.0,41.161,41,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2048,CA_US,26.0,42.029,42,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2049,CA_US,26.0,42.916,43,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2050,CA_US,26.0,43.822,44,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2051,CA_US,26.0,46.871,47,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2052,CA_US,26.0,50.132,50,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2053,CA_US,26.0,53.617,54,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2054,CA_US,26.0,57.343,57,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2055,CA_US,26.0,61.326,61,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2056,CA_US,26.0,65.584,66,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2057,CA_US,26.0,70.134,70,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2058,CA_US,26.0,74.997,75,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2059,CA_US,26.0,80.194,80,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2060,CA_US,26.0,85.747,86,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2061,CA_US,26.0,91.681,92,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2062,CA_US,26.0,98.019,98,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2063,CA_US,26.0,104.79,105,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2064,CA_US,26.0,112.022,112,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2065,CA_US,26.0,119.746,120,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2066,CA_US,26.0,127.993,128,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2067,CA_US,26.0,136.798,137,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2068,CA_US,26.0,146.198,146,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2069,CA_US,26.0,156.231,156,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2070,CA_US,26.0,166.937,167,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2071,CA_US,26.0,178.361,178,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2072,CA_US,26.0,190.547,191,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2073,CA_US,26.0,203.543,204,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2074,CA_US,26.0,217.402,217,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2075,CA_US,26.0,232.175,232,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2076,CA_US,26.0,247.92,248,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2077,CA_US,26.0,264.697,265,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2078,CA_US,26.0,282.566,283,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2079,CA_US,26.0,301.595,302,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2080,CA_US,26.0,321.851,322,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2081,CA_US,26.0,343.406,343,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2082,CA_US,26.0,366.335,366,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2083,CA_US,26.0,390.716,391,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2084,CA_US,26.0,416.63,417,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2085,CA_US,26.0,444.161,444,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2086,CA_US,26.0,473.396,473,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2087,CA_US,26.0,504.426,504,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2088,CA_US,26.0,537.342,537,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2089,CA_US,26.0,572.239,572,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2090,CA_US,26.0,609.216,609,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2091,CA_US,26.0,648.369,648,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2092,CA_US,26.0,689.8,690,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2093,CA_US,26.0,733.61,734,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2094,CA_US,26.0,779.9,780,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2095,CA_US,26.0,828.771,829,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2096,CA_US,26.0,880.323,880,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2097,CA_US,26.0,934.655,935,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2098,CA_US,26.0,991.863,992,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2099,CA_US,26.0,1052.038,1052,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2100,CA_US,26.0,1115.269,1115,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2025,VA_US,7.0,7.0,7,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2026,VA_US,7.0,7.135,7,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2027,VA_US,7.0,7.272,7,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2028,VA_US,7.0,7.412,7,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2029,VA_US,7.0,7.555,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2030,VA_US,7.0,7.701,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2031,VA_US,7.0,7.849,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2032,VA_US,7.0,8.0,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2033,VA_US,7.0,8.155,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2034,VA_US,7.0,8.312,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2035,VA_US,7.0,8.472,8,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2036,VA_US,7.0,8.635,9,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2037,VA_US,7.0,8.801,9,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2038,VA_US,7.0,8.971,9,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2039,VA_US,7.0,9.144,9,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2040,VA_US,7.0,9.32,9,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2041,VA_US,7.0,9.499,9,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2042,VA_US,7.0,9.682,10,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2043,VA_US,7.0,9.869,10,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
